Sample	Mixed	Pure	Both	Percent_Mixed	Percent_Pure	Percent_Both
myrxill	94	8910	0	0.010439804531319414	0.9895601954686806	0
xbr_1	180	11163	1	0.015867418899858956	0.9840444287729196	8.815232722143864e-5
xbr_2	46	4588	0	0.009926629261976695	0.9900733707380233	0
xbr_3	60	6539	1	0.00909090909090909	0.9907575757575757	1.5151515151515152e-4
xio	74	4158	0	0.017485822306238186	0.9825141776937618	0
xlc_1	106	5529	0	0.018811002661934337	0.9811889973380656	0
xlc_2	27	2528	0	0.010567514677103719	0.9894324853228963	0
xlc_3	98	5972	0	0.01614497528830313	0.9838550247116968	0
xlc_4	112	4972	1	0.022025565388397245	0.9777777777777777	1.9665683382497542e-4
xnuss	31	2143	0	0.014259429622815088	0.9857405703771849	0
