Sample	CarIll	Other_Parent	Proportion_CarIll	Other	Proportion_Other
myrxill	42990	36422	0.5401635945569	175	0.0021988515712365085
xbr_1	47148	44280	0.51394187795679	310	0.003379188558721577
xbr_2	30494	29337	0.5084197539097669	147	0.0024508986628430426
xbr_3	37310	33989	0.522263749492574	140	0.0019597138817732613
xio	22381	22592	0.49627477936937336	125	0.002771741540644818
xlc_1	81967	20963	0.7945156349960258	236	0.002287575363976504
xlc_2	23799	22810	0.5093200933079376	118	0.002525306567937167
xlc_3	59756	25497	0.6995387605066611	169	0.001978413055184847
xlc_4	22976	61599	0.271045677614194	193	0.0022768025670064176
xnuss	17972	16553	0.5192868906931722	84	0.0024271143344216824
